NOTE,PROCEDURE,MOD,PAR_AMOUNT,DESC
,1,,400.00 , Cash Pay Ketamine 
,1,,300.00 , Cash Pay Ketamine 
,3,,0.00 , NC Forms 
,4,,35.00 , Forms 
,5,,0.00 , Deposition 
,6,,10.00 , X Rays 
,8,,0.00 , Antifungal Cream 
,9,,0.00 , Surgery Prepayment 
,13,,30.00 , Hip Kit 
,11,,150.00 , PT Private IE 
,14,,85.00 , PT Private 30 
,15,,100.00 , PT Private 40 
,17,,85.00 , OT Private 30 
,18,,100.00 , OT Private 40 
,19,,500.00 , FCE Private Pay 
,20,,42.50 , Dry Needling Private 15 Min 
,21,,85.00 , Dry Needling Private 30 Min 
,22,,110.00 , Dry Needling Private 40 Min 
, 0054T ,,"1,500.00 ", BONE SURGERY USING COMPUTER 
, 0232MT ,,599.00 , NJX PLATELET PLASMA 
, 0232T ,,"1,500.00 ", NJX PLATELET PLASMA 
, 0232T ,,"1,100.00 ", NJX PLATELET PLASMA 
, 0275T ,,"2,708.00 ", PERQ LAMOT/LAM LUMBAR 
,10060,,344.00 , DRAINAGE OF SKIN ABSCESS 
,10061,,580.00 , DRAINAGE OF SKIN ABSCESS 
,10120,,400.00 , REMOVE FOREIGN BODY 
,10121,,"1,057.00 ", REMOVE FOREIGN BODY 
,10140,,460.00 , DRAINAGE OF HEMATOMA/FLUID 
,10160,,310.00 , PUNCTURE DRAINAGE OF LESION 
,10180,,"1,000.00 "," COMPLEX DRAINAGE, WOUND "
,11000,,160.00 , DEBRIDE INFECTED SKIN 
,11010,,"1,750.00 "," DEBRIDE SKIN, FX "
,11011,,"1,805.00 "," DEBRIDE SKIN/MUSCLE, FX "
,11012,,"3,134.00 "," DEBRIDE SKIN/MUSCLE/BONE, FX "
,11042,,270.00 , DEBRIDE SKIN/TISSUE 
,11043,,795.00 , DEBRIDE TISSUE/MUSCLE 
,11044,,"1,500.00 ", DEBRIDE TISSUE/MUSCLE/BONE 
,11045,,271.00 , DEB SUBQ TISSUE ADD-ON 
,11055,,181.00 , TRIM SKIN LESION 
,11056,,221.00 ," TRIM SKIN LESIONS, 2 TO 4 "
,11104,,633.00 , Punch Biopsy Of Skin Single Lesion 
,11105,,318.00 , Punch Biopsy Of Skin Addtnl Lesion 
,11402,,325.00 , EXC TR EXT B9 MARG 1.1-2 CM 
,11404,,530.00 , EXC TR EXT B9 MARG 3.1-4 CM 
,11420,,384.00 , EXC H F NK SP B9 MARG 0.5 < 
,11421,,400.00 , EXC H F NK SP B9 MARG 0.6-1 
,11422,,378.00 , EXC H F NK SP B9 MARG 1.1-2 
,11719,,65.00 , TRIM NAIL(S) 
,11720,,122.00 ," DEBRIDE NAIL, 1-5 "
,11721,,131.00 ," DEBRIDE NAIL, 6 OR MORE "
,11730,,300.00 , REMOVAL OF NAIL PLATE 
,11750,,660.00 , REMOVAL OF NAIL BED 
,11755,,400.00 ," BIOPSY, NAIL UNIT "
,11760,,843.00 , REPAIR OF NAIL BED 
,11900,,103.00 , INJECTION INTO SKIN LESIONS 
,12001,,431.00 , REPAIR SUPERFICIAL WOUND(S) 
,12002,,815.00 , REPAIR SUPERFICIAL WOUND(S) 
,12004,,952.00 , REPAIR SUPERFICIAL WOUND(S) 
,12020,,742.00 , CLOSURE OF SPLIT WOUND 
,12032,,900.00 , INTMD WND REPAIR S/TR/EXT 
,12037,,"1,558.00 ", INTMD WND REPAIR S/TR/EXT 
,13121,,"1,110.00 ", REPAIR OF WOUND OR LESION 
,13132,,"1,820.00 ", REPAIR OF WOUND OR LESION 
,13133,,572.00 , REPAIR WOUND/LESION ADD-ON 
,13160,,"2,223.00 ", LATE CLOSURE OF WOUND 
,14040,,"2,900.00 ", SKIN TISSUE REARRANGEMENT 
,15240,,"2,545.00 ", SKIN FULL GRFT FACE/GENIT/HF 
,15271,,670.00 , SKIN SUB GRAFT TRNK/ARM/LEG 
,15272,,500.00 , SKIN SUB GRAFT T/A/L ADD-ON 
,15275,,650.00 , SKIN SUB GRAFT FACE/NK/HF/G 
,17110,,333.00 ," DESTRUCT B9 LESION, 1-14 "
,17250,,222.00 ," CHEMICAL CAUTERY, TISSUE "
,20103,,"2,156.00 "," EXPLORE WOUND, EXTREMITY "
,20200,,700.00 , MUSCLE BIOPSY 
,20225,,"1,031.00 "," BONE BIOPSY, TROCAR/NEEDLE "
,20240,,900.00 ," BONE BIOPSY, EXCISIONAL "
,20520,,660.00 , REMOVAL OF FOREIGN BODY 
,20525,,"1,616.00 ", REMOVAL OF FOREIGN BODY 
,20526,,275.00 ," THER INJECTION, CARP TUNNEL "
,20527,,422.00 , INJ DUPUYTREN CORD W/ENZYME 
