NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON_PAR_AMOUNT,LIMITING_CHARGE
,D7111,,78.60,74.67,85.87
,D7140,,78.60,74.67,85.87
,D7210,,185.66,176.38,202.84
,D7220,,185.66,176.38,202.84
,D7230,,306.18,290.87,334.50
,D7240,,306.18,290.87,334.50
,G0076,,49.94,47.44,54.56
,G0077,,75.20,71.44,82.16
,G0078,,124.46,118.24,135.98
,G0079,,165.06,156.81,180.33
,G0080,,214.94,204.19,234.82
,G0081,,48.92,46.47,53.44
,G0082,,79.91,75.91,87.30
,G0083,,127.57,121.19,139.37
,G0084,,180.76,171.72,197.48
,G0085,,214.94,204.19,234.82
,G0086,,77.26,73.40,84.41
,G0087,,107.91,102.51,117.89
,G0101,,41.06,39.01,44.86
#,G0101,,29.30,27.84,32.02
,G0102,,23.47,22.30,25.65
#,G0102,,9.02,8.57,9.86
,G0104,,190.67,181.14,208.31
#,G0104,,58.22,55.31,63.61
,G0105,,353.08,335.43,385.74
#,G0105,,192.73,183.09,210.55
,G0105,53,176.37,167.55,192.68
#,G0105,53,96.37,91.55,105.28
,G0106,,228.65,217.22,249.80
,G0106,TC,166.86,158.52,182.30
,G0106,26,61.79,58.70,67.51
,G0108,,55.62,52.84,60.77
,G0109,,15.76,14.97,17.22
,G0117,,64.12,60.91,70.05
,G0118,,42.30,40.19,46.22
,G0120,,228.65,217.22,249.80
,G0120,TC,166.86,158.52,182.30
,G0120,26,61.79,58.70,67.51
,G0121,,353.65,335.97,386.37
#,G0121,,193.30,183.64,211.19
,G0121,53,176.94,168.09,193.30
#,G0121,53,96.93,92.08,105.89
,G0124,,23.16,22.00,25.30
,G0127,,23.81,22.62,26.01
#,G0127,,7.67,7.29,8.38
,G0128,,9.31,8.84,10.17
,G0130,,36.49,34.67,39.87
,G0130,TC,25.44,24.17,27.80
,G0130,26,11.05,10.50,12.08
,G0141,,23.16,22.00,25.30
,G0166,,105.80,100.51,115.59
,G0168,,126.51,120.18,138.21
#,G0168,,16.25,15.44,17.76
,G0179,,42.39,40.27,46.31
,G0180,,53.21,50.55,58.13
,G0181,,106.53,101.20,116.38
,G0182,,107.21,101.85,117.13
,G0237,,10.99,10.44,12.01
,G0238,,10.65,10.12,11.64
,G0239,,13.00,12.35,14.20
,G0245,,64.69,61.46,70.68
#,G0245,,40.49,38.47,44.24
,G0246,,38.90,36.96,42.50
#,G0246,,20.42,19.40,22.31
,G0247,,84.64,80.41,92.47
#,G0247,,22.11,21.00,24.15
,G0248,,98.74,93.80,107.87
,G0249,,67.80,64.41,74.07
,G0250,,9.02,8.57,9.86
,G0268,,55.58,52.80,60.72
#,G0268,,36.08,34.28,39.42
,G0270,,32.29,30.68,35.28
#,G0270,,27.58,26.20,30.13
,G0271,,17.11,16.25,18.69
#,G0271,,15.76,14.97,17.22
,G0276,,386.71,367.37,422.48
,G0277,,171.23,162.67,187.07
,G0278,,14.89,14.15,16.27
,G0279,,54.20,51.49,59.21
,G0279,TC,24.20,22.99,26.44
,G0279,26,29.99,28.49,32.76
,G0281,,12.38,11.76,13.52
,G0283,,12.38,11.76,13.52
,G0288,,42.64,40.51,46.59
,G0289,,92.11,87.50,100.63
,G0296,,29.30,27.84,32.02
#,G0296,,26.61,25.28,29.07
,G0316,,32.68,31.05,35.71
#,G0316,,31.34,29.77,34.24
,G0317,,32.68,31.05,35.71
#,G0317,,31.34,29.77,34.24
,G0318,,32.01,30.41,34.97
#,G0318,,30.67,29.14,33.51
,G0323,,43.78,41.59,47.83
#,G0323,,29.99,28.49,32.76
,G0329,,11.34,10.77,12.39
,G0339,,11000.00,10450.00,12017.50
,G0340,,9900.00,9405.00,10815.75
