NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,0042T,,313.35,297.68,342.33
,0054T,,170.31,161.79,186.06
,0055T,,283.12,268.96,309.30
,0071T,,1959.72,1861.73,2140.99
#,0071T,,407.48,387.11,445.18
,0075T,,1186.62,1127.29,1296.38
,0075T,26,391.59,372.01,427.81
,0075T,TC,795.04,755.29,868.58
,0076T,,593.32,563.65,648.20
,0076T,26,189.86,180.37,207.43
,0076T,TC,403.46,383.29,440.78
,0095T,,2804.22,2664.01,3063.61
,0101T,,349.33,331.86,381.64
#,0101T,,245.33,233.06,268.02
,0106T,,99.97,94.97,109.22
,0110T,,99.97,94.97,109.22
,0174T,,78.34,74.42,85.58
,0184T,,1158.25,1100.34,1265.39
,0200T,,1955.38,1857.61,2136.25
#,0200T,,432.79,411.15,472.82
,0201T,,1955.38,1857.61,2136.25
#,0201T,,432.79,411.15,472.82
,0202T,,1150.33,1092.81,1256.73
,0207T,,69.87,66.38,76.34
#,0207T,,53.82,51.13,58.80
,0208T,,33.30,31.64,36.39
,0213T,,206.26,195.95,225.34
#,0213T,,117.86,111.97,128.77
,0214T,,104.08,98.88,113.71
#,0214T,,67.29,63.93,73.52
,0215T,,104.81,99.57,114.51
#,0215T,,68.03,64.63,74.32
,0216T,,186.75,177.41,204.02
#,0216T,,99.46,94.49,108.66
,0217T,,96.47,91.65,105.40
#,0217T,,57.84,54.95,63.19
,0218T,,96.47,91.65,105.40
#,0218T,,58.58,55.65,64.00
,0219T,,1525.26,1449.00,1666.35
,0221T,,1870.51,1776.98,2043.53
,0222T,,470.58,447.05,514.11
,0232T,,228.77,217.33,249.93
,0234T,,2075.11,1971.35,2267.05
#,0234T,,454.16,431.45,496.17
,0236T,,2075.11,1971.35,2267.05
#,0236T,,454.16,431.45,496.17
,0237T,,2075.11,1971.35,2267.05
#,0237T,,454.16,431.45,496.17
,0238T,,2075.11,1971.35,2267.05
#,0238T,,454.16,431.45,496.17
,0253T,,683.15,648.99,746.34
,0266T,,662.08,628.98,723.33
,0268T,,259.25,246.29,283.23
#,0268T,,141.88,134.79,155.01
,0269T,,230.35,218.83,251.65
,0272T,,76.99,73.14,84.11
,0273T,,76.99,73.14,84.11
,0275T,,1144.91,1087.66,1250.81
,0278T,,22.23,21.12,24.29
,0330T,,23.54,22.36,25.71
,0335T,,559.18,531.22,610.90
,0345T,,2120.47,2014.45,2316.62
,0358T,,145.35,138.08,158.79
,0362T,,128.45,122.03,140.33
#,0362T,,117.30,111.44,128.16
,0373T,,5.45,5.18,5.96
,0378T,,35.86,34.07,39.18
,0394T,,238.42,226.50,260.48
,0395T,,633.47,601.80,692.07
,0402T,,386.29,366.98,422.03
#,0402T,,291.05,276.50,317.98
,0403T,,71.83,68.24,78.48
#,0403T,,65.14,61.88,71.16
,0408T,,375.06,356.31,409.76
,0415T,,363.02,344.87,396.60
,0418T,,52.24,49.63,57.07
,0421T,,904.83,859.59,988.53
,0437T,,319.56,303.58,349.12
,0440T,,164.76,156.52,180.00
#,0440T,,123.90,117.71,135.37
,0441T,,164.76,156.52,180.00
#,0441T,,123.90,117.71,135.37
,0442T,,53.71,51.02,58.67
,0446T,,2926.85,2780.51,3197.59
#,0446T,,56.42,53.60,61.64
,0447T,,96.48,91.66,105.41
#,0447T,,64.91,61.66,70.91
,0448T,,2775.13,2636.37,3031.83
#,0448T,,93.51,88.83,102.15
,0449T,,683.15,648.99,746.34
,0450T,,341.57,324.49,373.16
,0464T,,70.42,66.90,76.94
,0474T,,683.15,648.99,746.34
,0479T,,224.61,213.38,245.39
,0480T,,224.61,213.38,245.39
,0481T,,278.72,264.78,304.50
#,0481T,,119.75,113.76,130.82
,0483T,,1340.78,1273.74,1464.80
