NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,G0011,,26.48,25.16,28.93
#,G0011,,22.60,21.47,24.69
,G0012,,14.22,13.51,15.54
,G0013,,22.94,21.79,25.06
#,G0013,,8.73,8.29,9.53
,G0017,,211.87,201.28,231.47
#,G0017,,186.37,177.05,203.61
,G0018,,106.15,100.84,115.97
#,G0018,,94.53,89.80,103.27
,G0019,,80.37,76.35,87.80
#,G0019,,50.34,47.82,54.99
,G0022,,50.34,47.82,54.99
#,G0022,,35.17,33.41,38.42
,G0023,,80.37,76.35,87.80
#,G0023,,50.34,47.82,54.99
,G0024,,50.34,47.82,54.99
#,G0024,,35.17,33.41,38.42
,G0076,,49.54,47.06,54.12
,G0077,,73.79,70.10,80.62
,G0078,,120.84,114.80,132.02
,G0079,,158.75,150.81,173.43
,G0080,,209.09,198.64,228.44
,G0081,,48.57,46.14,53.06
,G0082,,78.33,74.41,85.57
,G0083,,123.94,117.74,135.40
,G0084,,175.46,166.69,191.69
,G0085,,209.09,198.64,228.44
,G0086,,74.77,71.03,81.68
,G0087,,104.77,99.53,114.46
,G0101,,40.03,38.03,43.73
#,G0101,,28.40,26.98,31.03
,G0102,,22.94,21.79,25.06
#,G0102,,8.73,8.29,9.53
,G0104,,183.82,174.63,200.82
#,G0104,,57.91,55.01,63.26
,G0105,,340.87,323.83,372.40
#,G0105,,187.84,178.45,205.22
,G0105,53,170.28,161.77,186.04
#,G0105,53,94.08,89.38,102.79
,G0106,,214.50,203.78,234.35
,G0106,TC,155.53,147.75,169.91
,G0106,26,58.96,56.01,64.41
,G0108,,54.09,51.39,59.10
,G0109,,15.55,14.77,16.99
,G0117,,62.40,59.28,68.17
,G0118,,41.01,38.96,44.80
,G0120,,214.50,203.78,234.35
,G0120,TC,155.53,147.75,169.91
,G0120,26,58.96,56.01,64.41
,G0121,,341.44,324.37,373.03
#,G0121,,188.40,178.98,205.83
,G0121,53,170.84,162.30,186.65
#,G0121,53,94.64,89.91,103.40
,G0124,,23.63,22.45,25.82
,G0127,,23.58,22.40,25.76
#,G0127,,7.44,7.07,8.13
,G0128,,9.60,9.12,10.49
,G0130,,36.12,34.31,39.46
,G0130,TC,25.42,24.15,27.77
,G0130,26,10.69,10.16,11.68
,G0136,,18.74,17.80,20.47
#,G0136,,9.06,8.61,9.90
,G0140,,80.37,76.35,87.80
#,G0140,,50.34,47.82,54.99
,G0141,,23.63,22.45,25.82
,G0146,,50.34,47.82,54.99
#,G0146,,35.17,33.41,38.42
,G0166,,100.40,95.38,109.69
,G0168,,119.78,113.79,130.86
#,G0168,,15.82,15.03,17.28
,G0179,,41.65,39.57,45.51
,G0180,,53.55,50.87,58.50
,G0181,,105.22,99.96,114.95
,G0182,,104.65,99.42,114.33
,G0237,,11.22,10.66,12.26
,G0238,,10.25,9.74,11.20
,G0239,,12.83,12.19,14.02
,G0245,,64.08,60.88,70.01
#,G0245,,39.55,37.57,43.21
,G0246,,38.50,36.58,42.07
#,G0246,,19.78,18.79,21.61
,G0247,,82.44,78.32,90.07
#,G0247,,21.42,20.35,23.40
,G0248,,97.82,92.93,106.87
,G0249,,63.84,60.65,69.75
,G0250,,8.73,8.29,9.53
,G0268,,53.19,50.53,58.11
#,G0268,,34.46,32.74,37.65
,G0270,,31.16,29.60,34.04
#,G0270,,26.64,25.31,29.11
,G0271,,16.52,15.69,18.04
#,G0271,,15.23,14.47,16.64
,G0276,,375.50,356.73,410.24
,G0277,,177.56,168.68,193.98
,G0278,,14.49,13.77,15.84
,G0279,,46.90,44.56,51.24
,G0279,TC,18.73,17.79,20.46
,G0279,26,28.17,26.76,30.77
,G0281,,11.64,11.06,12.72
,G0283,,11.64,11.06,12.72
,G0288,,44.45,42.23,48.56
,G0289,,90.02,85.52,98.35
,G0296,,27.81,26.42,30.38
#,G0296,,25.22,23.96,27.55
,G0316,,31.97,30.37,34.93
#,G0316,,30.36,28.84,33.17
,G0317,,31.97,30.37,34.93
#,G0317,,30.36,28.84,33.17
,G0318,,31.56,29.98,34.48
#,G0318,,30.27,28.76,33.07
,G0323,,55.23,52.47,60.34
#,G0323,,43.93,41.73,47.99
