NOTE,PROCEDURE,MOD,PAR_AMOUNT,NON-PAR AMOUNT,LIMITING CHARGE
,G0011,,26.91,25.56,29.39
#,G0011,,22.98,21.83,25.10
,G0012,,14.45,13.73,15.79
,G0013,,23.32,22.15,25.47
#,G0013,,8.88,8.44,9.71
,G0017,,215.39,204.62,235.31
#,G0017,,189.46,179.99,206.99
,G0018,,107.91,102.51,117.89
#,G0018,,96.10,91.30,105.00
,G0019,,81.70,77.62,89.26
#,G0019,,51.18,48.62,55.91
,G0022,,51.17,48.61,55.90
#,G0022,,35.75,33.96,39.05
,G0023,,81.70,77.62,89.26
#,G0023,,51.18,48.62,55.91
,G0024,,51.17,48.61,55.90
#,G0024,,35.75,33.96,39.05
,G0076,,50.37,47.85,55.03
,G0077,,75.02,71.27,81.96
,G0078,,122.84,116.70,134.21
,G0079,,161.39,153.32,176.32
,G0080,,212.56,201.93,232.22
,G0081,,49.38,46.91,53.95
,G0082,,79.63,75.65,87.00
,G0083,,126.00,119.70,137.66
,G0084,,178.38,169.46,194.88
,G0085,,212.56,201.93,232.22
,G0086,,76.01,72.21,83.04
,G0087,,106.50,101.18,116.36
,G0101,,40.69,38.66,44.46
#,G0101,,28.87,27.43,31.54
,G0102,,23.32,22.15,25.47
#,G0102,,8.88,8.44,9.71
,G0104,,186.87,177.53,204.16
#,G0104,,58.87,55.93,64.32
,G0105,,346.53,329.20,378.58
#,G0105,,190.96,181.41,208.62
,G0105,53,173.10,164.45,189.12
#,G0105,53,95.64,90.86,104.49
,G0106,,218.06,207.16,238.23
,G0106,TC,158.11,150.20,172.73
,G0106,26,59.94,56.94,65.48
,G0108,,54.98,52.23,60.06
,G0109,,15.81,15.02,17.27
,G0117,,63.43,60.26,69.30
,G0118,,41.69,39.61,45.55
,G0120,,218.06,207.16,238.23
,G0120,TC,158.11,150.20,172.73
,G0120,26,59.94,56.94,65.48
,G0121,,347.10,329.75,379.21
#,G0121,,191.53,181.95,209.24
,G0121,53,173.67,164.99,189.74
#,G0121,53,96.21,91.40,105.11
,G0124,,24.02,22.82,26.24
,G0127,,23.97,22.77,26.19
#,G0127,,7.56,7.18,8.26
,G0128,,9.76,9.27,10.66
,G0130,,36.72,34.88,40.11
,G0130,TC,25.84,24.55,28.23
,G0130,26,10.87,10.33,11.88
,G0136,,19.05,18.10,20.82
#,G0136,,9.21,8.75,10.06
,G0140,,81.70,77.62,89.26
#,G0140,,51.18,48.62,55.91
,G0141,,24.02,22.82,26.24
,G0146,,51.17,48.61,55.90
#,G0146,,35.75,33.96,39.05
,G0166,,102.06,96.96,111.50
,G0168,,121.76,115.67,133.02
#,G0168,,16.08,15.28,17.57
,G0179,,42.34,40.22,46.25
,G0180,,54.44,51.72,59.48
,G0181,,106.96,101.61,116.85
,G0182,,106.39,101.07,116.23
,G0237,,11.40,10.83,12.45
,G0238,,10.42,9.90,11.39
,G0239,,13.04,12.39,14.25
,G0245,,65.15,61.89,71.17
#,G0245,,40.20,38.19,43.92
,G0246,,39.14,37.18,42.76
#,G0246,,20.11,19.10,21.97
,G0247,,83.81,79.62,91.56
#,G0247,,21.78,20.69,23.79
,G0248,,99.44,94.47,108.64
,G0249,,64.90,61.66,70.91
,G0250,,8.88,8.44,9.71
,G0268,,54.07,51.37,59.08
#,G0268,,35.03,33.28,38.27
,G0270,,31.68,30.10,34.62
#,G0270,,27.08,25.73,29.59
,G0271,,16.80,15.96,18.35
#,G0271,,15.48,14.71,16.92
,G0276,,381.73,362.64,417.04
,G0277,,180.51,171.48,197.20
,G0278,,14.73,13.99,16.09
,G0279,,47.68,45.30,52.10
,G0279,TC,19.04,18.09,20.80
,G0279,26,28.64,27.21,31.29
,G0281,,11.83,11.24,12.93
,G0283,,11.83,11.24,12.93
,G0288,,45.19,42.93,49.37
,G0289,,91.51,86.93,99.97
,G0296,,28.27,26.86,30.89
#,G0296,,25.64,24.36,28.01
,G0316,,32.50,30.88,35.51
#,G0316,,30.86,29.32,33.72
,G0317,,32.50,30.88,35.51
#,G0317,,30.86,29.32,33.72
,G0318,,32.09,30.49,35.06
#,G0318,,30.77,29.23,33.61
,G0323,,56.14,53.33,61.33
#,G0323,,44.66,42.43,48.79
,G0329,,10.78,10.24,11.78
,G0339,,"11,000.00","10,450.00","12,017.50"
,G0340,,"9,900.00","9,405.00","10,815.75"
,G0341,,"1,582.20","1,503.09","1,728.55"
#,G0341,,325.14,308.88,355.21
,G0342,,826.03,784.73,902.44
,G0343,,"1,353.09","1,285.44","1,478.26"
,G0372,,8.87,8.43,9.69
,G0396,,35.39,33.62,38.66
#,G0396,,32.44,30.82,35.44
,G0397,,69.30,65.84,75.72
#,G0397,,66.35,63.03,72.48
,G0398,,161.87,153.78,176.85
,G0398,TC,121.03,114.98,132.23
,G0398,26,40.84,38.80,44.62
,G0399,,98.48,93.56,107.59
,G0399,TC,54.31,51.59,59.33
,G0399,26,44.17,41.96,48.25
,G0400,,87.69,83.31,95.81
,G0400,TC,46.85,44.51,51.19
,G0400,26,40.84,38.80,44.62
,G0402,,169.06,160.61,184.70
#,G0402,,133.62,126.94,145.98
,G0403,,14.70,13.97,16.07
,G0404,,6.48,6.16,7.08
,G0405,,8.22,7.81,8.98
,G0406,,42.99,40.84,46.97
,G0407,,73.95,70.25,80.79
,G0408,,107.92,102.52,117.90
,G0409,,23.55,22.37,25.73
,G0412,,778.32,739.40,850.31
,G0413,,"1,141.59","1,084.51","1,247.19"
,G0414,,"1,076.21","1,022.40","1,175.76"
,G0415,,"1,471.38","1,397.81","1,607.48"
,G0416,,362.14,344.03,395.63
,G0416,TC,189.94,180.44,207.51
,G0416,26,172.20,163.59,188.13
,G0420,,110.71,105.17,120.95
,G0421,,27.60,26.22,30.15
,G0422,,130.37,123.85,142.43
,G0423,,130.37,123.85,142.43
,G0425,,95.73,90.94,104.58
,G0426,,134.76,128.02,147.22
,G0427,,189.04,179.59,206.53
,G0429,,102.22,97.11,111.68
#,G0429,,71.04,67.49,77.61
,G0438,,168.74,160.30,184.35
,G0439,,132.59,125.96,144.85
,G0442,,19.05,18.10,20.82
#,G0442,,9.21,8.75,10.06
,G0443,,25.60,24.32,27.97
#,G0443,,22.98,21.83,25.10
,G0444,,19.05,18.10,20.82
#,G0444,,9.21,8.75,10.06
,G0445,,26.91,25.56,29.39
#,G0445,,22.98,21.83,25.10
,G0446,,25.93,24.63,28.32
#,G0446,,23.30,22.14,25.46
,G0447,,25.93,24.63,28.32
#,G0447,,22.98,21.83,25.10
,G0451,,11.73,11.14,12.81
,G0452,,49.50,47.03,54.08
,G0452,TC,3.53,3.35,3.85
,G0452,26,45.98,43.68,50.23
,G0453,,32.74,31.10,35.77
,G0454,,8.88,8.44,9.71
,G0455,,133.40,126.73,145.74
#,G0455,,73.01,69.36,79.76
,G0459,,43.11,40.95,47.09
,G0473,,12.52,11.89,13.67
#,G0473,,11.53,10.95,12.59
,G0498,,162.29,154.18,177.31
,G0500,,57.24,54.38,62.54
#,G0500,,6.37,6.05,6.96
,G0506,,63.66,60.48,69.55
#,G0506,,44.95,42.70,49.11
,G0508,,211.42,200.85,230.98
,G0509,,195.34,185.57,213.41
,G0513,,64.64,61.41,70.62
#,G0513,,60.38,57.36,65.96
,G0514,,64.97,61.72,70.98
#,G0514,,60.71,57.67,66.32
,G0516,,197.36,187.49,215.61
#,G0516,,97.91,93.01,106.96
,G0517,,219.09,208.14,239.36
#,G0517,,111.44,105.87,121.75
,G0518,,383.26,364.10,418.72
#,G0518,,183.05,173.90,199.99
,G2001,,50.37,47.85,55.03
,G2002,,75.02,71.27,81.96
,G2003,,122.84,116.70,134.21
,G2004,,161.39,153.32,176.32
,G2005,,212.56,201.93,232.22
,G2006,,49.38,46.91,53.95
,G2007,,79.63,75.65,87.00
,G2008,,126.00,119.70,137.66
,G2009,,178.38,169.46,194.88
,G2010,,12.49,11.87,13.65
#,G2010,,9.21,8.75,10.06
,G2011,,17.33,16.46,18.93
,G2012,,14.41,13.69,15.74
#,G2012,,13.10,12.45,14.32
,G2013,,212.56,201.93,232.22
,G2014,,76.01,72.21,83.04
,G2015,,106.50,101.18,116.36
,G2082,,843.89,801.70,921.96
#,G2082,,36.81,34.97,40.22
,G2083,,"1,197.05","1,137.20","1,307.78"
#,G2083,,36.81,34.97,40.22
,G2086,,474.35,450.63,518.22
#,G2086,,411.66,391.08,449.74
,G2087,,439.95,417.95,480.64
#,G2087,,398.27,378.36,435.11
,G2088,,59.45,56.48,64.95
#,G2088,,39.10,37.15,42.72
,G2211,,16.76,15.92,18.31
,G2212,,33.40,31.73,36.49
#,G2212,,32.09,30.49,35.06
,G2213,,66.10,62.80,72.22
#,G2213,,62.49,59.37,68.28
,G2214,,58.11,55.20,63.48
#,G2214,,39.07,37.12,42.69
,G2250,,12.49,11.87,13.65
#,G2250,,9.21,8.75,10.06
,G2251,,14.41,13.69,15.74
#,G2251,,13.10,12.45,14.32
,G2252,,26.94,25.59,29.43
#,G2252,,25.30,24.04,27.65
,G3002,,84.90,80.66,92.76
#,G3002,,76.04,72.24,83.08
,G3003,,31.13,29.57,34.01
#,G3003,,26.53,25.20,28.98
,G6001,,178.30,169.39,194.80
,G6001,TC,146.63,139.30,160.20
,G6001,26,31.67,30.09,34.60
,G6002,,75.13,71.37,82.08
,G6002,TC,54.40,51.68,59.43
,G6002,26,20.73,19.69,22.64
,G6003,,151.88,144.29,165.93
,G6004,,124.64,118.41,136.17
,G6005,,124.97,118.72,136.53
,G6006,,123.98,117.78,135.45
,G6007,,226.71,215.37,247.68
,G6008,,172.14,163.53,188.06
,G6009,,171.82,163.23,187.71
,G6010,,170.50,161.98,186.28
,G6011,,226.30,214.99,247.24
,G6012,,226.63,215.30,247.60
,G6013,,227.61,216.23,248.66
,G6014,,225.97,214.67,246.87
,G6015,,352.00,334.40,384.56
,G6016,,349.14,331.68,381.43
,G6017,,71.37,67.80,77.97
,G9157,,96.87,92.03,105.83
,G9187,,47.77,45.38,52.19
,G9481,,19.46,18.49,21.26
,G9482,,35.63,33.85,38.93
,G9483,,56.56,53.73,61.79
,G9484,,94.86,90.12,103.64
,G9485,,124.71,118.47,136.24
,G9486,,19.46,18.49,21.26
,G9487,,38.10,36.20,41.63
,G9488,,58.09,55.19,63.47
,G9489,,83.03,78.88,90.71
,G9490,,47.77,45.38,52.19
,G9685,,190.75,181.21,208.39
,G9868,,26.71,25.37,29.18
,G9869,,35.72,33.93,39.02
,G9870,,44.74,42.50,48.88
,G9978,,50.31,47.79,54.96
#,G9978,,28.98,27.53,31.66
,G9979,,73.70,70.02,80.52
